r_bohr,r_angstrom,total_hartree,nuclear_repulsion_hartree,electronic_hartree,one_electron_hartree,two_electron_hartree,scf_iterations,n_ao,n_mo,minimum_overlap_eigenvalue,point_group,scf_seconds
0.5352729915263827,0.28325426860291775,0.15603125936898,1.868205599442638,-1.7121743400736582,-1.7121743400736582,1.1102230246251565e-16,2,160,160,4.3728434571302506e-08,d2h,0.2900341249987832
0.541860729585699,0.28674034945377136,0.13752325643577934,1.8454926614899538,-1.7079694050541745,-1.7079694050541745,0.0,2,160,160,4.5031239761862337e-08,d2h,0.29973108299964224
0.5485295445785147,0.2902693343701438,0.11933068847702644,1.8230558588569583,-1.7037251703799319,-1.7037251703799317,-2.220446049250313e-16,2,160,160,4.6406524622037035e-08,d2h,0.30050916699838126
0.5552804343388494,0.29384175138305846,0.10145009494147894,1.8008918343947427,-1.6994417394532637,-1.6994417394532637,0.0,2,160,160,4.786029570439773e-08,d2h,0.29850549999900977
0.5621144089813144,0.2974581350221475,0.0838780460150923,1.778997271769352,-1.6951192257542598,-1.6951192257542598,0.0,2,160,160,4.939910565092331e-08,d2h,0.29779645899907337
0.5690324910522526,0.30111902639563276,0.06661114209113927,1.757368894965565,-1.6907577528744258,-1.6907577528744258,0.0,2,160,160,5.1030087749738004e-08,d2h,0.29726537500027916
0.5760357156827404,0.3048249732712897,0.049646013247709675,1.7360034677967153,-1.6863574545490057,-1.6863574545490057,0.0,2,160,160,5.2761024120716164e-08,d2h,0.2988961659993947
0.5831251307434693,0.30857653015840814,0.03297931873160853,1.7148977934204728,-1.6819184746888642,-1.681918474688864,-2.220446049250313e-16,2,160,160,5.460039259156171e-08,d2h,0.29444750000038766
0.590301797001537,0.3123742583907619,0.016607746448920158,1.6940487138605074,-1.677440967411587,-1.677440967411587,-1.1102230246251565e-16,2,160,160,5.655743603039726e-08,d2h,0.2952612079989194
0.5975667882791664,0.31621872621059977,0.000528012462590155,1.6734531095339724,-1.6729250970713823,-1.6729250970713823,0.0,2,160,160,5.8642234179790424e-08,d2h,0.2949338340004033
0.6049211916143773,0.32011050885366876,-0.01526313950375624,1.6531078987847332,-1.6683710382884893,-1.6683710382884893,-1.1102230246251565e-16,2,160,160,6.086577143371054e-08,d2h,0.29627233399878605
0.6123661074236376,0.3240501886352861,-0.03076893855397933,1.633010037422263,-1.6637789759762422,-1.6637789759762422,0.0,2,160,160,6.324002644561274e-08,d2h,0.29533762500068406
0.6199026496665151,0.32803835503746864,-0.0459925871003628,1.613156518266156,-1.6591491053665188,-1.6591491053665188,0.0,2,160,160,6.577805262849483e-08,d2h,0.2963603330008482
0.6275319460123548,0.332075604797135,-0.06093726133533872,1.5935443706961685,-1.6544816320315072,-1.6544816320315072,0.0,2,160,160,6.849407210855795e-08,d2h,0.29702104199895984
0.6352551380090101,0.33616254199539386,-0.07560611169507081,1.5741706602077359,-1.6497767719028067,-1.6497767719028067,0.0,2,160,160,7.140357701966441e-08,d2h,0.2981464999993477
0.6430733812536477,0.3402997781479307,-0.09000226331186256,1.5550324879728925,-1.6450347512847552,-1.6450347512847552,1.1102230246251565e-16,2,160,160,7.452343074891727e-08,d2h,0.2988510840004892
0.6509878455656565,0.3444879322965068,-0.1041288164564621,1.536126990406526,-1.6402558068629882,-1.6402558068629882,1.1102230246251565e-16,2,160,160,7.787196559108013e-08,d2h,0.3015613329989719
