cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
1.5,1,11,B,170,42,3.2525126610732373e-06,3.2525126610732373e-06,40000
1.5,1,29,B,170,42,2.3040221161184356e-06,2.3040221161184356e-06,40000
1.5,1,47,B,170,42,4.2479109058887515e-06,4.2479109058887515e-06,40000
1.5,1,71,B,170,42,4.216122100782572e-06,4.216122100782572e-06,40000
1.5,1,101,B,170,42,3.380439957839141e-06,3.380439957839141e-06,40000
1.5,2,11,A,170,42,8.785747654856321e-05,8.785747654856321e-05,40000
1.5,2,29,A,170,42,0.00013789926473529163,0.00013789926473529163,40000
1.5,2,47,A,170,42,0.00010625956947160636,0.00010625956947160636,40000
1.5,2,71,A,170,42,0.000105046234647917,0.000105046234647917,40000
1.5,2,101,A,170,42,0.00010111340213566802,0.00010111340213566802,40000
1.5,2,11,B,170,42,3.1970844625744154e-06,3.1970844625744154e-06,40000
1.5,2,29,B,170,42,2.2549430145902225e-06,2.2549430145902225e-06,40000
1.5,2,47,B,170,42,4.17849051006166e-06,4.17849051006166e-06,40000
1.5,2,71,B,170,42,4.1143802168034965e-06,4.1143802168034965e-06,40000
1.5,2,101,B,170,42,3.3232172972637052e-06,3.3232172972637052e-06,40000
1.5,3,11,A,170,42,9.024663181214556e-05,9.024663181214556e-05,40000
1.5,3,29,A,170,42,0.00014200970445950884,0.00014200970445950884,40000
1.5,3,47,A,170,42,0.0001082231497603558,0.0001082231497603558,40000
1.5,3,71,A,170,42,0.00010795639373506392,0.00010795639373506392,40000
1.5,3,101,A,170,42,0.00010396929967205157,0.00010396929967205157,40000
1.5,3,11,B,170,42,3.262085259138628e-06,3.262085259138628e-06,40000
1.5,3,29,B,170,42,2.3091858259053613e-06,2.3091858259053613e-06,40000
1.5,3,47,B,170,42,4.247386969681068e-06,4.247386969681068e-06,40000
1.5,3,71,B,170,42,4.204875029658531e-06,4.204875029658531e-06,40000
1.5,3,101,B,170,42,3.371049759487915e-06,3.371049759487915e-06,40000
1.5,4,11,A,169,43,8.474318783120111e-05,8.474318783120111e-05,40000
1.5,4,29,A,169,43,0.0001302550325762735,0.0001302550325762735,40000
1.5,4,47,A,169,43,0.00010488358865609496,0.00010488358865609496,40000
1.5,4,71,A,169,43,0.00010523448538089675,0.00010523448538089675,40000
1.5,4,101,A,169,43,9.630846539883347e-05,9.630846539883347e-05,40000
1.5,4,11,B,169,43,3.2203381833137313e-06,3.2203381833137313e-06,40000
1.5,4,29,B,169,43,2.307954266636469e-06,2.307954266636469e-06,40000
1.5,4,47,B,169,43,4.227048586216366e-06,4.227048586216366e-06,40000
1.5,4,71,B,169,43,4.172657376856617e-06,4.172657376856617e-06,40000
1.5,4,101,B,169,43,3.344173511929647e-06,3.344173511929647e-06,40000
2.0,0,11,A,150,39,2.211967648619222e-05,2.211967648619222e-05,40000
2.0,0,29,A,150,39,2.489746395389567e-05,2.489746395389567e-05,40000
2.0,0,47,A,150,39,2.8916002127387356e-05,2.8916002127387356e-05,40000
2.0,0,71,A,150,39,2.2586592606236076e-05,2.2586592606236076e-05,40000
2.0,0,101,A,150,39,2.0068389233951224e-05,2.0068389233951224e-05,40000
2.0,0,11,B,150,39,2.3639787004666118e-06,2.3639787004666118e-06,40000
2.0,0,29,B,150,39,1.9355020699513685e-06,1.9355020699513685e-06,40000
2.0,0,47,B,150,39,3.3810267094173633e-06,3.3810267094173633e-06,40000
2.0,0,71,B,150,39,2.96667691603649e-06,2.96667691603649e-06,40000
2.0,0,101,B,150,39,2.5619788544370037e-06,2.5619788544370037e-06,40000
2.0,1,11,A,152,37,2.2700141154887637e-05,2.2700141154887637e-05,40000
2.0,1,29,A,152,37,2.627441592010148e-05,2.627441592010148e-05,40000
2.0,1,47,A,152,37,3.0371321244985797e-05,3.0371321244985797e-05,40000
2.0,1,71,A,152,37,2.2853124502065324e-05,2.2853124502065324e-05,40000
2.0,1,101,A,152,37,2.0222954545318084e-05,2.0222954545318084e-05,40000
2.0,1,11,B,152,37,2.49798241021053e-06,2.49798241021053e-06,40000
2.0,1,29,B,152,37,2.0353340972008236e-06,2.0353340972008236e-06,40000
2.0,1,47,B,152,37,3.4915240388770447e-06,3.4915240388770447e-06,40000
2.0,1,71,B,152,37,3.1517433525837696e-06,3.1517433525837696e-06,40000
2.0,1,101,B,152,37,2.6598021196249046e-06,2.6598021196249046e-06,40000
2.0,2,11,A,152,37,2.315688792057506e-05,2.315688792057506e-05,40000
