nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
322,5.985e-95,1.298e-100,0.0004854,2.234e-07,1.979,0.002209,1.658e+04,29.29
322.5,2.535e-95,5.365e-101,0.0003876,1.696e-07,1.714,0.00186,1.598e+04,25.21
323,1.075e-95,2.22e-101,0.0003093,1.287e-07,1.483,0.001565,1.538e+04,21.67
323.5,4.561e-96,9.198e-102,0.0002465,9.755e-08,1.282,0.001315,1.478e+04,18.61
324,1.938e-96,3.815e-102,0.0001963,7.39e-08,1.106,0.001103,1.419e+04,15.97
324.5,8.242e-97,1.584e-102,0.0001562,5.595e-08,0.9538,0.0009253,1.359e+04,13.68
325,3.509e-97,6.587e-103,0.0001242,4.232e-08,0.8214,0.0007751,1.301e+04,11.71
325.5,1.496e-97,2.741e-103,9.863e-05,3.2e-08,0.7066,0.0006486,1.243e+04,10.01
326,6.382e-98,1.142e-103,7.828e-05,2.417e-08,0.6073,0.0005422,1.186e+04,8.552
326.5,2.726e-98,4.765e-104,6.207e-05,1.825e-08,0.5213,0.0004528,1.13e+04,7.297
327,1.166e-98,1.99e-104,4.918e-05,1.377e-08,0.447,0.0003778,1.075e+04,6.219
327.5,4.989e-99,8.321e-105,3.894e-05,1.038e-08,0.3829,0.0003149,1.022e+04,5.296
328,2.138e-99,3.483e-105,3.08e-05,7.82e-09,0.3277,0.0002622,9693,4.504
328.5,9.172e-100,1.46e-105,2.435e-05,5.888e-09,0.2801,0.0002182,9186,3.827
329,3.939e-100,6.124e-106,1.923e-05,4.431e-09,0.2392,0.0001813,8693,3.249
329.5,1.693e-100,2.572e-106,1.518e-05,3.332e-09,0.2041,0.0001506,8216,2.755
330,7.288e-101,1.082e-106,1.197e-05,2.504e-09,0.174,0.0001249,7756,2.334
330.5,3.14e-101,4.554e-107,9.431e-06,1.881e-09,0.1481,0.0001035,7311,1.976
331,1.354e-101,1.92e-107,7.427e-06,1.412e-09,0.126,8.575e-05,6884,1.671
331.5,5.847e-102,8.101e-108,5.844e-06,1.059e-09,0.1071,7.095e-05,6473,1.411
332,2.528e-102,3.422e-108,4.595e-06,7.943e-10,0.09092,5.866e-05,6079,1.191
332.5,1.094e-102,1.448e-108,3.611e-06,5.952e-10,0.07712,4.845e-05,5701,1.004
333,4.738e-103,6.13e-109,2.835e-06,4.458e-10,0.06536,3.999e-05,5341,0.8462
333.5,2.055e-103,2.599e-109,2.225e-06,3.337e-10,0.05534,3.298e-05,4998,0.7123
334,8.921e-104,1.103e-109,1.744e-06,2.497e-10,0.04681,2.717e-05,4670,0.599
334.5,3.877e-104,4.688e-110,1.367e-06,1.867e-10,0.03957,2.237e-05,4360,0.5033
335,1.687e-104,1.994e-110,1.071e-06,1.395e-10,0.03341,1.84e-05,4065,0.4225
335.5,7.349e-105,8.495e-111,8.378e-07,1.042e-10,0.02819,1.512e-05,3785,0.3544
336,3.205e-105,3.622e-111,6.552e-07,7.781e-11,0.02376,1.242e-05,3521,0.297
336.5,1.399e-105,1.547e-111,5.121e-07,5.807e-11,0.02001,1.019e-05,3271,0.2487
337,6.114e-106,6.611e-112,4e-07,4.331e-11,0.01684,8.359e-06,3036,0.2081
337.5,2.675e-106,2.829e-112,3.123e-07,3.229e-11,0.01416,6.849e-06,2814,0.174
338,1.172e-106,1.212e-112,2.436e-07,2.406e-11,0.0119,5.608e-06,2606,0.1453
338.5,5.137e-107,5.199e-113,1.899e-07,1.792e-11,0.009989,4.589e-06,2410,0.1213
339,2.255e-107,2.233e-113,1.48e-07,1.334e-11,0.008379,3.752e-06,2227,0.1012
339.5,9.91e-108,9.6e-114,1.153e-07,9.929e-12,0.007023,3.065e-06,2055,0.08429
340,4.36e-108,4.132e-114,8.972e-08,7.386e-12,0.005882,2.502e-06,1895,0.07019
340.5,1.92e-108,1.781e-114,6.979e-08,5.491e-12,0.004922,2.042e-06,1745,0.0584
341,8.467e-109,7.684e-115,5.426e-08,4.081e-12,0.004116,1.664e-06,1605,0.04856
341.5,3.738e-109,3.319e-115,4.216e-08,3.032e-12,0.003439,1.356e-06,1475,0.04034
342,1.652e-109,1.436e-115,3.274e-08,2.251e-12,0.002871,1.104e-06,1355,0.03349
342.5,7.307e-110,6.216e-116,2.542e-08,1.671e-12,0.002396,8.983e-07,1242,0.02779
343,3.236e-110,2.695e-116,1.972e-08,1.24e-12,0.001997,7.304e-07,1138,0.02303
343.5,1.435e-110,1.17e-116,1.529e-08,9.197e-13,0.001664,5.935e-07,1042,0.01908
344,6.37e-111,5.082e-117,1.185e-08,6.819e-13,0.001385,4.819e-07,952.7,0.0158
344.5,2.831e-111,2.211e-117,9.178e-09,5.054e-13,0.001153,3.911e-07,870.3,0.01307
345,1.259e-111,9.63e-118,7.106e-09,3.744e-13,0.0009582,3.172e-07,794.2,0.0108
345.5,5.608e-112,4.199e-118,5.499e-09,2.773e-13,0.000796,2.571e-07,724.1,0.008925
346,2.501e-112,1.833e-118,4.254e-09,2.053e-13,0.0006609,2.082e-07,659.6,0.007369
346.5,1.116e-112,8.013e-119,3.289e-09,1.52e-13,0.0005483,1.686e-07,600.3,0.006079
347,4.988e-113,3.507e-119,2.541e-09,1.124e-13,0.0004546,1.364e-07,545.7,0.005013
347.5,2.232e-113,1.536e-119,1.963e-09,8.315e-14,0.0003767,1.103e-07,495.7,0.00413
348,9.995e-114,6.74e-120,1.516e-09,6.148e-14,0.0003119,8.91e-08,449.9,0.003401
348.5,4.482e-114,2.96e-120,1.17e-09,4.544e-14,0.0002581,7.196e-08,407.9,0.002799
349,2.012e-114,1.301e-120,9.022e-10,3.358e-14,0.0002135,5.808e-08,369.5,0.002302
